response_id,accuracy,version
1,0.62963,v1
2,0.569444,v1
3,0.652778,v1
4,0.611111,v1
5,0.583333,v1
6,0.694444,v1
7,0.638889,v1
8,0.638889,v1
9,0.694444,v1
10,0.666667,v1
1,0.777778,v2
2,0.819444,v2
3,0.805556,v2
4,0.805556,v2
5,0.833333,v2
6,0.805556,v2
7,0.736111,v2
8,0.722222,v2
9,0.763889,v2
10,0.777778,v2
1,0.740741,v3
2,0.680556,v3
3,0.777778,v3
4,0.722222,v3
5,0.708333,v3
6,0.763889,v3
7,0.75,v3
8,0.694444,v3
9,0.791667,v3
10,0.777778,v3
1,0.814815,v4
2,0.805556,v4
3,0.805556,v4
4,0.805556,v4
5,0.833333,v4
6,0.833333,v4
7,0.833333,v4
8,0.791667,v4
9,0.847222,v4
10,0.875,v4
1,0.888889,v5
2,0.916667,v5
3,0.902778,v5
4,0.916667,v5
5,0.861111,v5
6,0.875,v5
7,0.902778,v5
8,0.888889,v5
9,0.888889,v5
10,0.847222,v5
