response_id,accuracy,version
1,0.958333,v1
2,0.819444,v1
3,0.888889,v1
4,0.930556,v1
5,0.944444,v1
6,1.0,v1
7,0.958333,v1
8,0.930556,v1
9,0.944444,v1
10,0.958333,v1
1,1.0,v2
2,1.0,v2
3,1.0,v2
4,1.0,v2
5,1.0,v2
6,1.0,v2
7,0.972222,v2
8,1.0,v2
9,1.0,v2
10,0.916667,v2
1,1.0,v3
2,1.0,v3
3,0.986111,v3
4,0.986111,v3
5,1.0,v3
6,1.0,v3
7,1.0,v3
8,0.972222,v3
9,0.944444,v3
10,1.0,v3
1,1.0,v4
2,1.0,v4
3,1.0,v4
4,1.0,v4
5,1.0,v4
6,1.0,v4
7,1.0,v4
8,1.0,v4
9,0.986111,v4
10,1.0,v4
1,1.0,v5
2,1.0,v5
3,1.0,v5
4,1.0,v5
5,1.0,v5
6,1.0,v5
7,1.0,v5
8,1.0,v5
9,1.0,v5
10,0.958333,v5
