response_id,accuracy,version
1,0.2638888888888889,v1
2,0.2916666666666667,v1
3,0.2222222222222222,v1
4,0.2361111111111111,v1
5,0.25,v1
6,0.2361111111111111,v1
7,0.3055555555555556,v1
8,0.2777777777777778,v1
9,0.2638888888888889,v1
10,0.2777777777777778,v1
1,0.9305555555555556,v2
2,0.9305555555555556,v2
3,0.9861111111111112,v2
4,0.9305555555555556,v2
5,0.9861111111111112,v2
6,0.9722222222222222,v2
7,0.9444444444444444,v2
8,0.9583333333333334,v2
9,0.9722222222222222,v2
10,0.9583333333333334,v2
1,0.9166666666666666,v3
2,0.9444444444444444,v3
3,0.9444444444444444,v3
4,0.9166666666666666,v3
5,0.9027777777777778,v3
6,0.9583333333333334,v3
7,0.9305555555555556,v3
8,0.9305555555555556,v3
9,0.9166666666666666,v3
10,0.9305555555555556,v3
1,0.9583333333333334,v4
2,0.9861111111111112,v4
3,0.9444444444444444,v4
4,0.9583333333333334,v4
5,0.9305555555555556,v4
6,0.9583333333333334,v4
7,0.9444444444444444,v4
8,0.9583333333333334,v4
9,0.9444444444444444,v4
10,0.9444444444444444,v4
1,0.7916666666666666,v5
2,0.8194444444444444,v5
3,0.8055555555555556,v5
4,0.7777777777777778,v5
5,0.8194444444444444,v5
6,0.7777777777777778,v5
7,0.8194444444444444,v5
8,0.7777777777777778,v5
9,0.8611111111111112,v5
10,0.875,v5
