response_id,accuracy,version
1,0.481481,v1
2,0.513889,v1
3,0.486111,v1
4,0.416667,v1
5,0.486111,v1
6,0.513889,v1
7,0.444444,v1
8,0.527778,v1
9,0.5,v1
10,0.5,v1
1,0.740741,v2
2,0.694444,v2
3,0.736111,v2
4,0.736111,v2
5,0.791667,v2
6,0.722222,v2
7,0.791667,v2
8,0.763889,v2
9,0.75,v2
10,0.75,v2
1,0.518519,v3
2,0.5,v3
3,0.541667,v3
4,0.486111,v3
5,0.541667,v3
6,0.5,v3
7,0.513889,v3
8,0.513889,v3
9,0.527778,v3
10,0.472222,v3
1,0.851852,v4
2,0.847222,v4
3,0.833333,v4
4,0.819444,v4
5,0.861111,v4
6,0.847222,v4
7,0.888889,v4
8,0.833333,v4
9,0.847222,v4
10,0.847222,v4
1,0.962963,v5
2,1.0,v5
3,0.930556,v5
4,0.944444,v5
5,0.972222,v5
6,0.958333,v5
7,0.986111,v5
8,0.986111,v5
9,0.972222,v5
10,0.902778,v5
