version,response_id,accuracy
v1,1,0.7037037037037037
v1,2,0.6296296296296297
v1,3,0.7037037037037037
v1,4,0.7037037037037037
v1,5,0.6666666666666666
v1,6,0.6666666666666666
v1,7,0.6666666666666666
v1,8,0.6666666666666666
v1,9,0.6666666666666666
v1,10,0.6296296296296297
v2,1,0.5555555555555556
v2,2,0.5925925925925926
v2,3,0.5185185185185185
v2,4,0.5185185185185185
v2,5,0.5555555555555556
v2,6,0.5925925925925926
v2,7,0.5555555555555556
v2,8,0.5185185185185185
v2,9,0.5555555555555556
v2,10,0.5185185185185185
v3,1,0.7777777777777778
v3,2,0.8148148148148148
v3,3,0.7777777777777778
v3,4,0.7777777777777778
v3,5,0.7777777777777778
v3,6,0.8148148148148148
v3,7,0.8148148148148148
v3,8,0.8148148148148148
v3,9,0.7777777777777778
v3,10,0.7777777777777778
v4,1,0.8148148148148148
v4,2,0.8148148148148148
v4,3,0.8148148148148148
v4,4,0.8148148148148148
v4,5,0.8148148148148148
v4,6,0.8148148148148148
v4,7,0.8148148148148148
v4,8,0.8148148148148148
v4,9,0.8148148148148148
v4,10,0.8148148148148148
v5,1,0.7037037037037037
v5,2,0.7037037037037037
v5,3,0.7037037037037037
v5,4,0.7037037037037037
v5,5,0.7037037037037037
v5,6,0.7037037037037037
v5,7,0.7037037037037037
v5,8,0.7037037037037037
v5,9,0.7037037037037037
v5,10,0.7407407407407407
