response_id,accuracy,version
1,0.7777777777777778,v1
2,0.8611111111111112,v1
3,0.8611111111111112,v1
4,0.8472222222222222,v1
5,0.8333333333333334,v1
6,0.8472222222222222,v1
7,0.9027777777777778,v1
8,0.8472222222222222,v1
9,0.8333333333333334,v1
10,0.8055555555555556,v1
1,0.9444444444444444,v2
2,0.9166666666666666,v2
3,0.8472222222222222,v2
4,0.8472222222222222,v2
5,0.9027777777777778,v2
6,0.8611111111111112,v2
7,0.9027777777777778,v2
8,0.8611111111111112,v2
9,0.875,v2
10,0.9027777777777778,v2
1,1.0,v3
2,1.0,v3
3,0.9722222222222222,v3
4,0.9861111111111112,v3
5,0.9722222222222222,v3
6,1.0,v3
7,1.0,v3
8,0.9722222222222222,v3
9,1.0,v3
10,0.9861111111111112,v3
1,1.0,v4
2,0.9861111111111112,v4
3,0.9722222222222222,v4
4,1.0,v4
5,0.9583333333333334,v4
6,1.0,v4
7,0.9722222222222222,v4
8,0.9861111111111112,v4
9,0.9722222222222222,v4
10,0.9861111111111112,v4
1,0.9583333333333334,v5
2,0.9861111111111112,v5
3,1.0,v5
4,1.0,v5
5,1.0,v5
6,1.0,v5
7,1.0,v5
8,0.9444444444444444,v5
9,1.0,v5
10,0.9722222222222222,v5
