version,response_id,accuracy
v1,1,0.4074074074074074
v1,2,0.2962962962962963
v1,3,0.4074074074074074
v1,4,0.4444444444444444
v1,5,0.4074074074074074
v1,6,0.3333333333333333
v1,7,0.3333333333333333
v1,8,0.4444444444444444
v1,9,0.37037037037037035
v1,10,0.3333333333333333
v2,1,0.14814814814814814
v2,2,0.2962962962962963
v2,3,0.3333333333333333
v2,4,0.2962962962962963
v2,5,0.1111111111111111
v2,6,0.25925925925925924
v2,7,0.3333333333333333
v2,8,0.2962962962962963
v2,9,0.2962962962962963
v2,10,0.2222222222222222
v3,1,0.48148148148148145
v3,2,0.2962962962962963
v3,3,0.48148148148148145
v3,4,0.4074074074074074
v3,5,0.2962962962962963
v3,6,0.4444444444444444
v3,7,0.4444444444444444
v3,8,0.4444444444444444
v3,9,0.5185185185185185
v3,10,0.37037037037037035
v4,1,0.37037037037037035
v4,2,0.4444444444444444
v4,3,0.48148148148148145
v4,4,0.5185185185185185
v4,5,0.4444444444444444
v4,6,0.48148148148148145
v4,7,0.5925925925925926
v4,8,0.3333333333333333
v4,9,0.4074074074074074
v4,10,0.5185185185185185
v5,1,0.3333333333333333
v5,2,0.48148148148148145
v5,3,0.5555555555555556
v5,4,0.48148148148148145
v5,5,0.3333333333333333
v5,6,0.5185185185185185
v5,7,0.4444444444444444
v5,8,0.4444444444444444
v5,9,0.5555555555555556
v5,10,0.4074074074074074
