version,response_id,accuracy
v1,1,0.1481481481481481
v1,2,0.1111111111111111
v1,3,0.1481481481481481
v1,4,0.2222222222222222
v1,5,0.1851851851851851
v1,6,0.2222222222222222
v1,7,0.1111111111111111
v1,8,0.1851851851851851
v1,9,0.1481481481481481
v1,10,0.1851851851851851
v2,1,0.074074074074074
v2,2,0.074074074074074
v2,3,0.1111111111111111
v2,4,0.1481481481481481
v2,5,0.0
v2,6,0.1851851851851851
v2,7,0.074074074074074
v2,8,0.1111111111111111
v2,9,0.074074074074074
v2,10,0.1481481481481481
v3,1,0.074074074074074
v3,2,0.074074074074074
v3,3,0.037037037037037
v3,4,0.074074074074074
v3,5,0.1111111111111111
v3,6,0.1851851851851851
v3,7,0.1111111111111111
v3,8,0.074074074074074
v3,9,0.037037037037037
v3,10,0.1111111111111111
v4,1,0.1481481481481481
v4,2,0.1851851851851851
v4,3,0.2592592592592592
v4,4,0.2222222222222222
v4,5,0.3333333333333333
v4,6,0.1111111111111111
v4,7,0.3703703703703703
v4,8,0.2592592592592592
v4,9,0.074074074074074
v4,10,0.1851851851851851
v5,1,0.5185185185185185
v5,2,0.4814814814814814
v5,3,0.4444444444444444
v5,4,0.4814814814814814
v5,5,0.4444444444444444
v5,6,0.5925925925925926
v5,7,0.4074074074074074
v5,8,0.4074074074074074
v5,9,0.3703703703703703
v5,10,0.2592592592592592
