version,response_id,accuracy
v1,1,0.48148148148148145
v1,2,0.4074074074074074
v1,3,0.4444444444444444
v1,4,0.4074074074074074
v1,5,0.2962962962962963
v1,6,0.4444444444444444
v1,7,0.4074074074074074
v1,8,0.4444444444444444
v1,9,0.4444444444444444
v1,10,0.37037037037037035
v2,1,0.3333333333333333
v2,2,0.37037037037037035
v2,3,0.2962962962962963
v2,4,0.3333333333333333
v2,5,0.2962962962962963
v2,6,0.4074074074074074
v2,7,0.37037037037037035
v2,8,0.3333333333333333
v2,9,0.48148148148148145
v2,10,0.37037037037037035
v3,1,0.7407407407407407
v3,2,0.5925925925925926
v3,3,0.6296296296296297
v3,4,0.6666666666666666
v3,5,0.6296296296296297
v3,6,0.6666666666666666
v3,7,0.6666666666666666
v3,8,0.7037037037037037
v3,9,0.6666666666666666
v3,10,0.7037037037037037
v4,1,0.7407407407407407
v4,2,0.7777777777777778
v4,3,0.8518518518518519
v4,4,0.7777777777777778
v4,5,0.7407407407407407
v4,6,0.7777777777777778
v4,7,0.7777777777777778
v4,8,0.8148148148148148
v4,9,0.7407407407407407
v4,10,0.7777777777777778
v5,1,0.8518518518518519
v5,2,0.8518518518518519
v5,3,0.8518518518518519
v5,4,0.8148148148148148
v5,5,0.8518518518518519
v5,6,0.8148148148148148
v5,7,0.8148148148148148
v5,8,0.8148148148148148
v5,9,0.8518518518518519
v5,10,0.8148148148148148
